#,Video Title,Size (MB),Drive Link,Transcript Downloaded?,Transcript Filename,Notes
121,1 The Ready to Launch Track Celebration! _ Digital Course Academy.mp4,60.2,https://drive.google.com/file/d/1ajPnuHuzStNamxNqsy3zrmSexW-966Dc/view?usp=drivesdk,,,
122,1 The Start From Scratch Track Celebration! _ Digital Course Academy.mp4,53.7,https://drive.google.com/file/d/1bqndx680jAHqaIxnyfUXbKjLl8pWAQmD/view?usp=drivesdk,,,
123,2 Your Personal Hype Video _ Digital Course Academy.mp4,19.1,https://drive.google.com/file/d/1KbZQCRAxAuv-gcV0aScEdTJ4YhMVxJZW/view?usp=drivesdk,,,
124,5 Finalize Workshop Delivery Decisions _ Digital Course Academy.mp4,21.0,https://drive.google.com/file/d/1YYYCHvSvqyMn-R6WmSSi7kvA2d4pfSX8/view?usp=drivesdk,,,
125,4 Determine Your Workshop Pricing _ Digital Course Academy.mp4,48.0,https://drive.google.com/file/d/1x869Kuj6xic2TJ9Fy7oZgDicLCfLIaHB/view?usp=drivesdk,,,
126,3 Craft Your Workshop Transformation Statement _ Digital Course Academy.mp4,36.6,https://drive.google.com/file/d/1OcVTMWMDWAypwhHBzZJxQHGrFTnzciKp/view?usp=drivesdk,,,
127,2 Nail Down Your Workshop Topic & Title _ Digital Course Academy.mp4,74.8,https://drive.google.com/file/d/1SPvHapZO4T11JnTTPcGxLbpuP1gMdU6w/view?usp=drivesdk,,,
128,1 Snapshot _ Digital Course Academy.mp4,34.1,https://drive.google.com/file/d/1lonW2b-JdQzxtb-GsRvEgFk6NsRRlRfh/view?usp=drivesdk,,,
129,5 Get Social! _ Digital Course Academy.mp4,88.1,https://drive.google.com/file/d/1QzdIo1rYh82jXSdBG_30vnvPuD0LmAi5/view?usp=drivesdk,,,
130,4 Create a Lead Magnet _ Digital Course Academy.mp4,82.0,https://drive.google.com/file/d/1-Zl2z_77cUIY3Qv3IUo5FCAEBAvuZKwC/view?usp=drivesdk,,,
131,2 Identify Your Niche _ Digital Course Academy.mp4,90.0,https://drive.google.com/file/d/1jTq5nrEc1CS6n1dianFoYkChs3fJs7y3/view?usp=drivesdk,,,
132,3 Create and Publish Weekly Original Content _ Digital Course Academy.mp4,45.9,https://drive.google.com/file/d/1JMppVYzjlwPX-8rWI9wyQZc-4eMb22zq/view?usp=drivesdk,,,
133,1 Snapshot _ Digital Course Academy.mp4,48.4,https://drive.google.com/file/d/1rCmsJWeziHUepsaJdrHLgz9m8ct4rcMT/view?usp=drivesdk,,,
134,4 Perfect Your Workshop Content with 1_1 or Group Coaching _ Digital Course Academy.mp4,38.1,https://drive.google.com/file/d/1QSsAs2T-voLEgh_HQ85QFZacNCMLBa4G/view?usp=drivesdk,,,
135,3 Review Your Training Toolkit _ Digital Course Academy.mp4,79.6,https://drive.google.com/file/d/1CLxSB9ZmuuOfIcyJ_GV2X-KLFiz31EdS/view?usp=drivesdk,,,
136,2 Create Your Workshop Outline _ Digital Course Academy.mp4,53.0,https://drive.google.com/file/d/1TuCxrFqIAhMnvggsrg7k2poVI64OQjB1/view?usp=drivesdk,,,
137,1 Snapshot _ Digital Course Academy.mp4,17.4,https://drive.google.com/file/d/1d9xll_H1WSKDF8O_rOnttgMLbj2cSD5D/view?usp=drivesdk,,,
138,4 Shout It From the Rooftops! _ Digital Course Academy.mp4,59.6,https://drive.google.com/file/d/1sLDHl-nmsH_grGpJJgnCZzlBHAuU1NFK/view?usp=drivesdk,,,
139,3 Craft Your Email and Social Promotion Assets _ Digital Course Academy.mp4,39.4,https://drive.google.com/file/d/18NnEBk-bkRHCpq9B-r80xA6SPwXsCgJm/view?usp=drivesdk,,,
140,2 Create Your Simple Workshop Sales Page _ Digital Course Academy.mp4,66.6,https://drive.google.com/file/d/1YEjhVDd9ChYd_UCu_hfHpoMrxZk4oIcm/view?usp=drivesdk,,,
141,1 Snapshot _ Digital Course Academy.mp4,34.5,https://drive.google.com/file/d/1HKrYDN_zIkpBPawz3K_uO7lxFNu4gH-E/view?usp=drivesdk,,,
